Invoice_Number,Amount,Posting_Date,Vendor_Name,GL_Account,Created_By,Approved_By,Entry_Type,Description
INV-10373,4977.64,2026-03-10,Metro Facilities,6020-IT Cloud Infra,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10373
INV-10374,1289.73,2026-03-25,Delta Freight,6050-Maintenance,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10374
INV-10375,4560.33,2026-03-04,TechSupplies Inc,6050-Maintenance,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10375
INV-10376,4453.57,2026-03-01,OfficeDepot Co,6050-Maintenance,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10376
INV-10377,4372.36,2026-03-18,Delta Freight,6040-Freight & Delivery,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10377
INV-10378,3439.61,2026-03-10,Metro Facilities,6040-Freight & Delivery,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10378
INV-10379,4288.3,2026-03-23,TechSupplies Inc,6030-Consulting Fees,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10379
INV-10380,1469.23,2026-03-03,Delta Freight,6030-Consulting Fees,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10380
INV-10381,1550.6,2026-03-03,OfficeDepot Co,6030-Consulting Fees,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10381
INV-10382,2343.11,2026-03-01,Metro Facilities,6050-Maintenance,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10382
INV-10383,2817.81,2026-03-01,Metro Facilities,6050-Maintenance,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10383
INV-10384,2100.41,2026-03-17,TechSupplies Inc,6050-Maintenance,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10384
INV-10385,1993.48,2026-03-16,CloudScale Networks,6030-Consulting Fees,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10385
INV-10386,915.35,2026-03-26,OfficeDepot Co,6040-Freight & Delivery,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10386
INV-10387,1302.0,2026-03-04,CloudScale Networks,6040-Freight & Delivery,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10387
INV-10388,109.29,2026-03-15,Delta Freight,6030-Consulting Fees,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10388
INV-10389,4262.63,2026-03-20,Metro Facilities,6020-IT Cloud Infra,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10389
INV-10390,2336.48,2026-03-10,OfficeDepot Co,6020-IT Cloud Infra,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10390
INV-10391,3765.58,2026-03-09,Metro Facilities,6020-IT Cloud Infra,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10391
INV-10392,2733.73,2026-03-18,TechSupplies Inc,6050-Maintenance,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10392
INV-10393,3929.68,2026-03-26,TechSupplies Inc,6040-Freight & Delivery,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10393
INV-10394,3622.21,2026-03-10,Delta Freight,6040-Freight & Delivery,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10394
INV-10395,3421.42,2026-03-20,Delta Freight,6040-Freight & Delivery,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10395
INV-10396,2303.62,2026-03-23,Metro Facilities,6040-Freight & Delivery,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10396
INV-10397,3705.52,2026-03-22,TechSupplies Inc,6010-Office Expense,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10397
INV-10398,3435.86,2026-03-26,TechSupplies Inc,6050-Maintenance,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10398
INV-10399,315.95,2026-03-12,OfficeDepot Co,6020-IT Cloud Infra,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10399
INV-10400,4087.26,2026-03-01,Metro Facilities,6050-Maintenance,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10400
INV-10401,1780.88,2026-03-10,TechSupplies Inc,6010-Office Expense,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10401
INV-10402,4112.59,2026-03-04,Metro Facilities,6040-Freight & Delivery,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10402
INV-10403,3746.3,2026-03-26,OfficeDepot Co,6010-Office Expense,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10403
INV-10404,680.95,2026-03-08,OfficeDepot Co,6010-Office Expense,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10404
INV-10405,3090.58,2026-03-08,OfficeDepot Co,6050-Maintenance,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10405
INV-10406,3871.73,2026-03-24,CloudScale Networks,6040-Freight & Delivery,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10406
INV-10407,1423.14,2026-03-23,Metro Facilities,6040-Freight & Delivery,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10407
INV-10408,1507.76,2026-03-06,TechSupplies Inc,6050-Maintenance,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10408
INV-10409,1198.32,2026-03-21,TechSupplies Inc,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10409
INV-10410,2118.51,2026-03-12,Delta Freight,6050-Maintenance,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10410
INV-10411,3931.09,2026-03-05,OfficeDepot Co,6050-Maintenance,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10411
INV-10412,1369.54,2026-03-05,TechSupplies Inc,6020-IT Cloud Infra,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10412
INV-10413,2418.78,2026-03-06,CloudScale Networks,6050-Maintenance,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10413
INV-10414,2991.6,2026-03-10,CloudScale Networks,6050-Maintenance,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10414
INV-10415,1647.78,2026-03-01,Delta Freight,6050-Maintenance,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10415
INV-10416,1281.96,2026-03-22,Delta Freight,6050-Maintenance,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10416
INV-10417,3858.14,2026-03-19,Delta Freight,6040-Freight & Delivery,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10417
INV-10418,3821.78,2026-03-18,OfficeDepot Co,6010-Office Expense,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10418
INV-10419,4059.17,2026-03-04,Metro Facilities,6040-Freight & Delivery,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10419
INV-10420,2860.42,2026-03-15,OfficeDepot Co,6050-Maintenance,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10420
INV-10421,5304.68,2026-03-15,TechSupplies Inc,6020-IT Cloud Infra,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10421
INV-10422,4449.59,2026-03-07,TechSupplies Inc,6040-Freight & Delivery,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10422
INV-10423,3692.74,2026-03-20,OfficeDepot Co,6050-Maintenance,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10423
INV-10424,1108.5,2026-03-09,CloudScale Networks,6010-Office Expense,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10424
INV-10425,1259.01,2026-03-22,OfficeDepot Co,6030-Consulting Fees,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10425
INV-10426,1446.36,2026-03-05,Delta Freight,6010-Office Expense,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10426
INV-10427,1216.06,2026-03-13,CloudScale Networks,6030-Consulting Fees,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10427
INV-10428,3193.88,2026-03-03,OfficeDepot Co,6040-Freight & Delivery,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10428
INV-10429,4853.67,2026-03-12,TechSupplies Inc,6040-Freight & Delivery,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10429
INV-10430,2718.23,2026-03-15,Metro Facilities,6010-Office Expense,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10430
INV-10431,3942.81,2026-03-14,TechSupplies Inc,6050-Maintenance,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10431
INV-10432,3262.57,2026-03-19,OfficeDepot Co,6030-Consulting Fees,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10432
INV-10433,4326.56,2026-03-21,OfficeDepot Co,6010-Office Expense,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10433
INV-10434,2992.7,2026-03-01,TechSupplies Inc,6020-IT Cloud Infra,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10434
INV-10435,4308.45,2026-03-03,CloudScale Networks,6030-Consulting Fees,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10435
INV-10436,1737.8,2026-03-21,OfficeDepot Co,6020-IT Cloud Infra,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10436
INV-10437,3664.27,2026-03-04,CloudScale Networks,6040-Freight & Delivery,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10437
INV-10438,2389.75,2026-03-22,CloudScale Networks,6050-Maintenance,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10438
INV-10439,315.24,2026-03-05,OfficeDepot Co,6010-Office Expense,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10439
INV-10440,1444.73,2026-03-12,TechSupplies Inc,6010-Office Expense,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10440
INV-10441,1652.12,2026-03-19,CloudScale Networks,6020-IT Cloud Infra,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10441
INV-10442,3257.43,2026-03-24,Delta Freight,6030-Consulting Fees,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10442
INV-10443,2138.29,2026-03-05,Delta Freight,6020-IT Cloud Infra,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10443
INV-10444,3580.23,2026-03-26,Delta Freight,6030-Consulting Fees,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10444
INV-10445,1459.85,2026-03-01,TechSupplies Inc,6020-IT Cloud Infra,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10445
INV-10446,4142.87,2026-03-13,OfficeDepot Co,6020-IT Cloud Infra,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10446
INV-10447,439.95,2026-03-08,CloudScale Networks,6040-Freight & Delivery,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10447
INV-10448,3285.25,2026-03-05,Metro Facilities,6010-Office Expense,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10448
INV-10449,4416.58,2026-03-25,Delta Freight,6030-Consulting Fees,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10449
INV-10450,2975.05,2026-03-02,TechSupplies Inc,6030-Consulting Fees,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10450
INV-10451,3332.25,2026-03-23,OfficeDepot Co,6050-Maintenance,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10451
INV-10452,3437.86,2026-03-03,Metro Facilities,6050-Maintenance,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10452
INV-10453,2728.33,2026-03-19,CloudScale Networks,6020-IT Cloud Infra,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10453
INV-10454,4626.95,2026-03-28,TechSupplies Inc,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10454
INV-10455,1352.64,2026-03-20,Delta Freight,6010-Office Expense,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10455
INV-10456,3359.21,2026-03-05,CloudScale Networks,6010-Office Expense,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10456
INV-10457,1371.57,2026-03-12,OfficeDepot Co,6050-Maintenance,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10457
INV-10458,3968.89,2026-03-26,OfficeDepot Co,6010-Office Expense,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10458
INV-10459,2876.45,2026-03-15,OfficeDepot Co,6050-Maintenance,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10459
INV-10460,608.37,2026-03-09,Metro Facilities,6020-IT Cloud Infra,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10460
INV-10461,5140.31,2026-03-28,TechSupplies Inc,6020-IT Cloud Infra,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10461
INV-10462,2124.58,2026-03-06,Delta Freight,6030-Consulting Fees,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10462
INV-10463,5493.04,2026-03-08,Metro Facilities,6040-Freight & Delivery,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10463
INV-10464,3846.47,2026-03-17,OfficeDepot Co,6010-Office Expense,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10464
INV-10465,776.29,2026-03-03,CloudScale Networks,6050-Maintenance,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10465
INV-10466,5274.48,2026-03-15,OfficeDepot Co,6030-Consulting Fees,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10466
INV-10467,1014.95,2026-03-12,Metro Facilities,6030-Consulting Fees,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10467
INV-10468,2874.95,2026-03-01,CloudScale Networks,6050-Maintenance,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10468
INV-10469,1341.66,2026-03-01,Metro Facilities,6030-Consulting Fees,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10469
INV-10470,2527.81,2026-03-08,OfficeDepot Co,6010-Office Expense,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10470
INV-10471,5051.3,2026-03-08,CloudScale Networks,6030-Consulting Fees,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10471
INV-10472,3627.72,2026-03-04,OfficeDepot Co,6040-Freight & Delivery,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10472
INV-10473,3506.53,2026-03-22,Delta Freight,6010-Office Expense,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10473
INV-10474,2690.13,2026-03-27,OfficeDepot Co,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10474
INV-10475,2195.32,2026-03-05,OfficeDepot Co,6020-IT Cloud Infra,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10475
INV-10476,3608.92,2026-03-15,CloudScale Networks,6010-Office Expense,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10476
INV-10477,782.09,2026-03-15,OfficeDepot Co,6020-IT Cloud Infra,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10477
INV-10478,746.92,2026-03-27,CloudScale Networks,6030-Consulting Fees,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10478
INV-10479,1624.0,2026-03-02,CloudScale Networks,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10479
INV-10480,1817.03,2026-03-18,CloudScale Networks,6010-Office Expense,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10480
INV-10481,1877.15,2026-03-01,Delta Freight,6010-Office Expense,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10481
INV-10482,3935.63,2026-03-12,CloudScale Networks,6020-IT Cloud Infra,bob.jones,frank.castle,AP_INVOICE,Payment for standard services INV-10482
INV-10483,5210.17,2026-03-01,TechSupplies Inc,6050-Maintenance,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10483
INV-10484,3635.78,2026-03-04,Delta Freight,6020-IT Cloud Infra,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10484
INV-10485,2330.0,2026-03-13,CloudScale Networks,6050-Maintenance,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10485
INV-10486,2228.26,2026-03-06,Delta Freight,6020-IT Cloud Infra,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10486
INV-10487,2380.3,2026-03-10,CloudScale Networks,6010-Office Expense,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10487
INV-10488,4725.98,2026-03-13,Delta Freight,6010-Office Expense,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10488
INV-10489,1071.72,2026-03-26,Metro Facilities,6020-IT Cloud Infra,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10489
INV-10490,2965.93,2026-03-09,Delta Freight,6030-Consulting Fees,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10490
INV-10491,1690.4,2026-03-26,CloudScale Networks,6010-Office Expense,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10491
INV-10492,4798.99,2026-03-08,Metro Facilities,6020-IT Cloud Infra,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10492
INV-10493,1821.3,2026-03-27,TechSupplies Inc,6020-IT Cloud Infra,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10493
INV-10494,3024.51,2026-03-23,CloudScale Networks,6050-Maintenance,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10494
INV-10495,3161.87,2026-03-07,OfficeDepot Co,6050-Maintenance,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10495
INV-10496,4869.37,2026-03-16,Delta Freight,6050-Maintenance,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10496
INV-10497,307.69,2026-03-16,Metro Facilities,6020-IT Cloud Infra,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10497
INV-10498,4590.61,2026-03-06,CloudScale Networks,6020-IT Cloud Infra,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10498
INV-10499,5352.75,2026-03-19,OfficeDepot Co,6010-Office Expense,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10499
INV-10500,1265.73,2026-03-12,TechSupplies Inc,6050-Maintenance,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10500
INV-10501,3862.72,2026-03-11,Metro Facilities,6010-Office Expense,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10501
INV-10502,861.96,2026-03-23,Delta Freight,6040-Freight & Delivery,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10502
INV-10503,5030.35,2026-03-19,Metro Facilities,6030-Consulting Fees,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10503
INV-10504,2656.14,2026-03-01,OfficeDepot Co,6020-IT Cloud Infra,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10504
INV-10505,6081.31,2026-03-20,Delta Freight,6050-Maintenance,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10505
INV-10506,4218.32,2026-03-05,Metro Facilities,6020-IT Cloud Infra,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10506
INV-10507,579.26,2026-03-03,OfficeDepot Co,6030-Consulting Fees,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10507
INV-10508,4129.26,2026-03-07,OfficeDepot Co,6040-Freight & Delivery,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10508
INV-10509,477.48,2026-03-13,OfficeDepot Co,6010-Office Expense,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10509
INV-10510,2363.56,2026-03-12,CloudScale Networks,6040-Freight & Delivery,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10510
INV-10511,871.5,2026-03-15,Delta Freight,6050-Maintenance,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10511
INV-10512,4264.81,2026-03-04,OfficeDepot Co,6010-Office Expense,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10512
INV-10513,893.52,2026-03-03,Delta Freight,6020-IT Cloud Infra,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10513
INV-10514,5112.11,2026-03-06,Delta Freight,6010-Office Expense,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10514
INV-10515,2597.3,2026-03-07,TechSupplies Inc,6010-Office Expense,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10515
INV-10516,3011.91,2026-03-08,Metro Facilities,6030-Consulting Fees,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10516
INV-10517,2015.96,2026-03-12,Metro Facilities,6040-Freight & Delivery,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10517
INV-10518,448.99,2026-03-01,Metro Facilities,6040-Freight & Delivery,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10518
INV-10519,3298.91,2026-03-26,TechSupplies Inc,6040-Freight & Delivery,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10519
INV-10520,2678.57,2026-03-12,OfficeDepot Co,6010-Office Expense,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10520
INV-10521,2828.52,2026-03-15,Delta Freight,6010-Office Expense,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10521
INV-10522,4324.59,2026-03-22,Metro Facilities,6010-Office Expense,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10522
INV-10523,3389.79,2026-03-02,Metro Facilities,6040-Freight & Delivery,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10523
INV-10524,4920.75,2026-03-08,Delta Freight,6050-Maintenance,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10524
INV-10525,695.03,2026-03-25,TechSupplies Inc,6050-Maintenance,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10525
INV-10526,5014.06,2026-03-02,CloudScale Networks,6020-IT Cloud Infra,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10526
INV-10527,5189.27,2026-03-09,Delta Freight,6020-IT Cloud Infra,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10527
INV-10528,3811.63,2026-03-13,TechSupplies Inc,6010-Office Expense,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10528
INV-10529,4645.94,2026-03-20,Metro Facilities,6040-Freight & Delivery,alice.smith,bruce.wayne,AP_INVOICE,Payment for standard services INV-10529
INV-10530,4309.18,2026-03-19,TechSupplies Inc,6040-Freight & Delivery,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10530
INV-10531,4193.26,2026-03-28,TechSupplies Inc,6010-Office Expense,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10531
INV-10532,2071.09,2026-03-16,Delta Freight,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10532
INV-10533,2752.41,2026-03-20,CloudScale Networks,6030-Consulting Fees,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10533
INV-10534,3893.54,2026-03-08,TechSupplies Inc,6040-Freight & Delivery,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10534
INV-10535,2404.09,2026-03-27,OfficeDepot Co,6030-Consulting Fees,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10535
INV-10536,2271.82,2026-03-10,Delta Freight,6010-Office Expense,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10536
INV-10537,3867.28,2026-03-21,OfficeDepot Co,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10537
INV-10538,2256.25,2026-03-17,Delta Freight,6040-Freight & Delivery,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10538
INV-10539,1042.93,2026-03-19,Metro Facilities,6040-Freight & Delivery,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10539
INV-10540,985.11,2026-03-15,CloudScale Networks,6010-Office Expense,bob.jones,diana.prince,AP_INVOICE,Payment for standard services INV-10540
INV-10541,1831.62,2026-03-17,CloudScale Networks,6030-Consulting Fees,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10541
INV-10542,4843.72,2026-03-20,TechSupplies Inc,6020-IT Cloud Infra,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10542
INV-10543,5068.85,2026-03-06,Delta Freight,6050-Maintenance,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10543
INV-10544,2118.82,2026-03-02,TechSupplies Inc,6030-Consulting Fees,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10544
INV-10545,2945.59,2026-03-07,CloudScale Networks,6020-IT Cloud Infra,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10545
INV-10546,2194.5,2026-03-21,TechSupplies Inc,6010-Office Expense,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10546
INV-10547,4091.9,2026-03-23,CloudScale Networks,6030-Consulting Fees,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10547
INV-10548,2587.98,2026-03-07,Delta Freight,6030-Consulting Fees,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10548
INV-10549,3672.11,2026-03-17,Metro Facilities,6040-Freight & Delivery,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10549
INV-10550,8193.72,2026-03-22,OfficeDepot Co,6050-Maintenance,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10550
INV-10551,380.03,2026-03-21,OfficeDepot Co,6030-Consulting Fees,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10551
INV-10552,5021.69,2026-03-25,OfficeDepot Co,6020-IT Cloud Infra,bob.jones,bruce.wayne,AP_INVOICE,Payment for standard services INV-10552
INV-10553,416.98,2026-03-05,Metro Facilities,6040-Freight & Delivery,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10553
INV-10554,3855.35,2026-03-13,OfficeDepot Co,6030-Consulting Fees,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10554
INV-10555,3519.85,2026-03-23,Metro Facilities,6020-IT Cloud Infra,charlie.brown,bruce.wayne,AP_INVOICE,Payment for standard services INV-10555
INV-10556,2791.0,2026-03-27,Delta Freight,6030-Consulting Fees,charlie.brown,diana.prince,AP_INVOICE,Payment for standard services INV-10556
INV-10557,3277.98,2026-03-24,OfficeDepot Co,6010-Office Expense,emily.watson,diana.prince,AP_INVOICE,Payment for standard services INV-10557
INV-10558,4178.31,2026-03-12,CloudScale Networks,6030-Consulting Fees,alice.smith,diana.prince,AP_INVOICE,Payment for standard services INV-10558
INV-10559,4472.18,2026-03-19,Delta Freight,6030-Consulting Fees,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10559
INV-10560,4414.25,2026-03-07,Delta Freight,6010-Office Expense,alice.smith,frank.castle,AP_INVOICE,Payment for standard services INV-10560
INV-10561,4651.16,2026-03-02,Delta Freight,6050-Maintenance,charlie.brown,frank.castle,AP_INVOICE,Payment for standard services INV-10561
INV-10562,1683.43,2026-03-15,CloudScale Networks,6030-Consulting Fees,emily.watson,bruce.wayne,AP_INVOICE,Payment for standard services INV-10562
INV-10563,4382.91,2026-03-21,CloudScale Networks,6010-Office Expense,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10563
INV-10564,3515.92,2026-03-07,TechSupplies Inc,6010-Office Expense,emily.watson,frank.castle,AP_INVOICE,Payment for standard services INV-10564
